id,danceability,energy,valence,mood
03VzAAMs5PrLM42XR7ijuc,0.54,0.923,0.531,angry
7xy0PAZxzGDOcYzyptvprd,0.706,0.167,0.724,happy
3njpLvANriMsdv3dgADEad,0.555,0.639,0.184,angry
6CHENx8iqzMwavTIz8s0gm,0.287,0.78,0.383,angry
7spcc0WMgkXCjdc8t1ugB2,0.448,0.519,0.355,sad
1BbocHcTYAu0wCS4NqgRsI,0.537,0.97,0.502,angry
4v2rkl1mC3zVAz0nXMx9r4,0.77,0.654,0.685,happy
3ZiV8Fs2UGpvr31mslhYPI,0.429,0.707,0.562,relaxed
5u9NUat59IiQFVEzZ4r3Np,0.624,0.252,0.367,sad
4Ve66CBSEnK0MuEYsqxN7N,0.386,0.879,0.39,angry
3n5iUh2Z6P7cnWins22W0F,0.593,0.468,0.597,relaxed
1HuAR7RyNWQq6vHwOFHWqx,0.824,0.634,0.743,happy
2N9Cou3s4pxwsKZ9XLt70x,0.632,0.76,0.275,angry
2CN72f1bC9iLrTtzcoZGGP,0.593,0.84,0.775,happy
3vYP5IgBfHv9nWbNhTq3IS,0.378,0.975,0.457,angry
7vTCIwHvCT3zMmtYBo0uff,0.646,0.583,0.339,sad
5boibrn5Grky2xEm5aK13k,0.674,0.523,0.404,sad
21Izx09FQfTP4K27V1E2iZ,0.745,0.412,0.51,angry
1LxHpDkjD1u9yKKdh11wBq,0.462,0.067,0.271,relaxed
3gRjhWNZ10cdaRPRLbzskT,0.505,0.667,0.151,sad
0CCeadjiIVSBbGRueKGDE2,0.555,0.57,0.142,sad
6MBCtmqATwY5KlPRd65A29,0.395,0.711,0.353,angry
5esJb63Nbi1LeG0v4NyKTt,0.488,0.615,0.686,sad
5sN9NYU43a9yFYWhnL2frj,0.3,0.555,0.0784,sad
5S1lTe2IVfQQ7rJkFb6F9Q,0.515,0.86,0.449,angry
7klQm1UOICdgXPTuIATaCX,0.3,0.936,0.757,angry
6eT08jQH8w5BNfAec85k31,0.625,0.266,0.303,relaxed
57zue2IGGV2Gm4HFLp90aZ,0.49,0.645,0.739,relaxed
1rLDTmI8quVUsGy9mzrXBx,0.268,0.982,0.366,angry
798RlpfAbvEYiek5PlKRaz,0.604,0.342,0.0788,relaxed
7JdQ2G8CcaUlV6Ve9bmENr,0.538,0.497,0.686,happy
4Td5Uuuny9vyXBacIqM2V0,0.521,0.298,0.0532,sad
2Bk7DXxVp7Yphfa4GJK2hs,0.734,0.76,0.913,happy
5koyOdvQU9AUgPMA14N4mD,0.522,0.931,0.367,angry
1RLWonWtQ3Iwbbzqbp74Uf,0.547,0.688,0.225,relaxed
6kpOHUJEK2HDCQa2lksKeR,0.456,0.72,0.292,relaxed
4rRfPm15Ka5wxUbd8lD7Z3,0.471,0.545,0.373,sad
6vYYt9fTorwdo6sxoceMQC,0.652,0.605,0.72,sad
4UMTp91LHhvW33ol9ZQH0Q,0.924,0.853,0.67,happy
0lFSYIdmSR76kmfOzQEIVh,0.396,0.533,0.211,sad
5DsQ690cs8vS2wW9FQH91i,0.545,0.748,0.275,relaxed
2uRxXraNeeLPSeCYjUbN6D,0.626,0.309,0.626,happy
5ThljNlaUX5zNgNWBmanmG,0.51,0.83,0.483,angry
6rlbzljFusv6pqMnf6buHb,0.541,0.82,0.146,sad
4DINOBcXuCsEdNCH1l4naj,0.14,0.923,0.326,angry
0f8lc6QabkwdZ89O2qRXkp,0.766,0.473,0.424,relaxed
2F08d4KocfOdWhn7aK3gDI,0.541,0.895,0.657,happy
3inZkpVlyHfLoxwuyu2GYW,0.612,0.55,0.371,relaxed
3EN4LzHTjEDHt4s5n3Fix5,0.61,0.545,0.324,relaxed
7rClhtwnre3TfFocdCMajr,0.398,0.47,0.351,relaxed
6N6L0UTuvkQV0joapmyoxx,0.505,0.993,0.349,angry
1DFqKXOIcd2IqhNFMwWWBR,0.599,0.924,0.413,relaxed
7LHZ7HA45ezKcdN8sBrBuS,0.309,0.767,0.413,sad
11XMjzsyPB5LYOwMb058bT,0.59,0.153,0.425,relaxed
7olD0K7CDQkbxH3G57k52l,0.411,0.364,0.715,sad
416e0SQe40tOyhQt9krWNz,0.518,0.429,0.325,relaxed
71geaRAZ2M5w08T3kl5Xvs,0.458,0.538,0.521,relaxed
05mzctclS0ZqqTLEiDIGkt,0.475,0.823,0.881,happy
29uKzagduhFDTWPCjqaGOg,0.63,0.788,0.629,happy
5Q7m1Km199HHMB926xxbrs,0.365,0.939,0.527,angry
1FjyLdteE3saWL1YRjQ3Of,0.61,0.983,0.484,angry
6LxDjupow6D5FzG2iAbyrt,0.34,0.0952,0.168,relaxed
1qrpoAMXodY6895hGKoUpA,0.632,0.773,0.474,happy
3LgNfgXrsIr5ewmrlelU1T,0.53,0.938,0.245,sad
5wBPIP7z3WN8aweHcF0AcW,0.224,0.991,0.127,angry
40u9RFyKQfXwpPjFzK1bGO,0.43,0.868,0.164,angry
3jXrYXeuqmNK7zbF0AukYd,0.313,0.815,0.373,relaxed
0K1fNhZL5YY2vc0HVxzDwF,0.493,0.443,0.41,happy
1pB5Y2BPLez1J49KKKewUE,0.495,0.772,0.56,happy
1W4FUDnrhdpvtF2p2q0gBx,0.434,0.564,0.0498,sad
4QH2mH5Jmwi9WfXGFwlHLQ,0.577,0.757,0.459,sad
65mxB9IWpmVo4qUjdGSxRB,0.663,0.72,0.608,happy
0z01b3z7TTWizIRvgXZ4eT,0.456,0.385,0.215,sad
4ttozjJu6p9v4RN5aheYfH,0.223,0.201,0.0622,sad
05zMBBrA6nfNKgIHr39Qag,0.369,0.853,0.619,angry
6oYGLiSdsWqvgsGAeVrRfF,0.557,0.993,0.202,sad
54UFDHWI2q7WHfrGbSNWph,0.31,0.83,0.617,angry
2mqaYmF0XmV8egZB6jQOtN,0.69,0.74,0.657,happy
0q5dK7tO2CrFl9hGIvU30r,0.748,0.674,0.808,happy
